Time (min),Utility Max Desired Power,t(sec)
0,5550,0
5,5500,100
25,5480,500
45,5460,900
65,5440,1300
85,5420,1700
105,5400,2100
125,5380,2500
145,5360,2900
165,5340,3300
185,5320,3700
205,5300,4100
225,5280,4500
245,5260,4900
265,5240,5300
285,5220,5700
305,5200,6100
325,5180,6500
345,5160,6900
365,5140,7300
385,5120,7700
405,5100,8100
425,5080,8500
445,5060,8900
465,5040,9300
485,5020,9700
505,5000,10100
525,4980,10500
545,4960,10900
565,4940,11300
585,4920,11700
605,4900,12100
625,4880,12500
645,4860,12900
665,4840,13300
685,4820,13700
705,4800,14100
725,4780,14500
745,4760,14900
765,4740,15300
785,4720,15700
805,4700,16100
825,4680,16500
845,4660,16900
865,4640,17300
885,4620,17700
905,4600,18100
925,4580,18500
945,4560,18900
965,4540,19300
985,4520,19700
1005,4500,20100
1025,4480,20500
1045,4460,20900
1065,4440,21300
1085,4420,21700
